price
62.89
62.89
62.89
62.89
38.77
38.77
38.77
38.77
42.0
42.0
42.0
42.0
42.0
42.0
42.0
42.0
48.0
48.0
48.0
48.0
56.8
56.8
56.8
56.8
53.4
53.4
53.4
53.4
578.95
578.95
578.95
578.95
640.28
640.28
640.28
640.28
613.5
613.5
613.5
613.5
291.09
291.09
291.09
291.09
388.91
388.91
388.91
188.91
106.62
106.62
106.62
106.62
295.0
295.0
495.0
595.0
616.3
616.3
616.3
616.3
638.81
638.81
638.81
638.81
667.99
667.99
667.99
667.99
669.0
669.0
669.0
669.0
654.5
654.5
654.5
654.5
615.6
615.6
615.6
615.6
554.83
554.83
554.83
554.83
521.41
521.41
521.41
521.41
58.05
58.05
58.05
58.05
40.0
40.0
40.0
40.0
