price
363.05
363.05
363.05
363.05
390.8
390.8
390.8
390.8
365.3
365.3
365.3
365.3
386.6
386.6
386.6
386.6
416.8
416.8
416.8
416.8
442.2
442.2
442.2
442.2
571.1
571.1
571.1
571.1
627.2
627.2
627.2
627.2
650.0
650.0
650.0
650.0
638.3
638.3
638.3
638.3
604.4
604.4
604.4
604.4
608.8
608.8
608.8
608.8
592.2
592.2
592.2
592.2
592.3
592.3
592.3
592.3
592.0
592.0
592.0
592.0
571.2
571.2
571.2
571.2
592.26
592.26
592.26
592.26
613.0
613.0
613.0
613.0
592.2
592.2
592.2
592.2
577.3
577.3
577.3
577.3
520.0
520.0
520.0
520.0
431.41
431.41
431.41
431.41
426.0
426.0
426.0
426.0
370.6
370.6
370.6
370.6
