Doba handlowa;Doba;OREB [Jednostka czasu od-do];RCE [zł/MWh];Data publikacji
"2025-01-01";"2025-01-01";"11:00 - 11:15";-261.04;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"11:15 - 11:30";-261.04;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"11:30 - 11:45";-261.04;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"11:45 - 12:00";-261.04;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"12:00 - 12:15";-202.28;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"12:15 - 12:30";-202.28;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"12:30 - 12:45";-202.28;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"12:45 - 13:00";-202.28;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"13:00 - 13:15";-45.46;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"13:15 - 13:30";-45.46;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"13:30 - 13:45";-45.46;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"13:45 - 14:00";-45.46;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"14:00 - 14:15";-16.57;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"14:15 - 14:30";-16.57;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"14:30 - 14:45";-16.57;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"14:45 - 15:00";-16.57;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"15:00 - 15:15";37.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"15:15 - 15:30";37.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"15:30 - 15:45";37.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"15:45 - 16:00";37.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"16:00 - 16:15";57.39;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"16:15 - 16:30";57.39;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"16:30 - 16:45";57.39;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"16:45 - 17:00";57.39;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"17:00 - 17:15";59.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"17:15 - 17:30";59.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"17:30 - 17:45";59.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"17:45 - 18:00";59.24;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"18:00 - 18:15";53.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"18:15 - 18:30";53.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"18:30 - 18:45";53.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"18:45 - 19:00";53.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"19:00 - 19:15";50.36;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"19:15 - 19:30";50.36;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"19:30 - 19:45";50.36;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"19:45 - 20:00";50.36;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"20:00 - 20:15";44.86;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"20:15 - 20:30";44.86;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"20:30 - 20:45";44.86;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"20:45 - 21:00";44.86;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"21:00 - 21:15";21.63;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"21:15 - 21:30";21.63;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"21:30 - 21:45";21.63;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"21:45 - 22:00";21.63;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"22:00 - 22:15";17.41;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"22:15 - 22:30";17.41;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"22:30 - 22:45";17.41;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"22:45 - 23:00";17.41;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"23:00 - 23:15";-18.59;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"23:15 - 23:30";-18.59;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"23:30 - 23:45";-18.59;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"23:45 - 24:00";-18.59;"2024-12-31 13:44"
"2025-01-02";"2025-01-02";"00:00 - 00:15";-64.55;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"00:15 - 00:30";-64.55;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"00:30 - 00:45";-64.55;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"00:45 - 01:00";-64.55;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"01:00 - 01:15";-41.34;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"01:15 - 01:30";-41.34;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"01:30 - 01:45";-41.34;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"01:45 - 02:00";-41.34;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"02:00 - 02:15";-61.96;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"02:15 - 02:30";-61.96;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"02:30 - 02:45";-61.96;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"02:45 - 03:00";-61.96;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"03:00 - 03:15";-45.05;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"03:15 - 03:30";-45.05;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"03:30 - 03:45";-45.05;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"03:45 - 04:00";-45.05;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"04:00 - 04:15";-48.09;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"04:15 - 04:30";-48.09;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"04:30 - 04:45";-48.09;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"04:45 - 05:00";-48.09;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"05:00 - 05:15";-2.15;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"05:15 - 05:30";-2.15;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"05:30 - 05:45";-2.15;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"05:45 - 06:00";-2.15;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"06:00 - 06:15";145.48;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"06:15 - 06:30";145.48;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"06:30 - 06:45";145.48;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"06:45 - 07:00";145.48;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"07:00 - 07:15";354.88;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"07:15 - 07:30";354.88;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"07:30 - 07:45";354.88;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"07:45 - 08:00";354.88;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"08:00 - 08:15";413.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"08:15 - 08:30";413.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"08:30 - 08:45";413.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"08:45 - 09:00";413.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"09:00 - 09:15";438.65;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"09:15 - 09:30";438.65;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"09:30 - 09:45";438.65;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"09:45 - 10:00";438.65;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"10:00 - 10:15";441.66;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"10:15 - 10:30";441.66;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"10:30 - 10:45";441.66;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"10:45 - 11:00";441.66;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"11:00 - 11:15";423.24;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"11:15 - 11:30";423.24;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"11:30 - 11:45";423.24;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"11:45 - 12:00";423.24;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"12:00 - 12:15";395.69;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"12:15 - 12:30";395.69;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"12:30 - 12:45";395.69;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"12:45 - 13:00";395.69;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"13:00 - 13:15";434.32;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"13:15 - 13:30";434.32;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"13:30 - 13:45";434.32;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"13:45 - 14:00";434.32;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"14:00 - 14:15";464.27;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"14:15 - 14:30";464.27;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"14:30 - 14:45";464.27;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"14:45 - 15:00";464.27;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"15:00 - 15:15";530.56;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"15:15 - 15:30";530.56;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"15:30 - 15:45";530.56;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"15:45 - 16:00";530.56;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"16:00 - 16:15";562.68;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"16:15 - 16:30";562.68;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"16:30 - 16:45";562.68;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"16:45 - 17:00";562.68;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"17:00 - 17:15";603.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"17:15 - 17:30";603.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"17:30 - 17:45";603.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"17:45 - 18:00";603.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"18:00 - 18:15";611.04;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"18:15 - 18:30";611.04;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"18:30 - 18:45";611.04;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"18:45 - 19:00";611.04;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"19:00 - 19:15";560.38;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"19:15 - 19:30";560.38;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"19:30 - 19:45";560.38;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"19:45 - 20:00";560.38;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"20:00 - 20:15";530.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"20:15 - 20:30";530.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"20:30 - 20:45";530.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"20:45 - 21:00";530.92;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"21:00 - 21:15";448.25;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"21:15 - 21:30";448.25;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"21:30 - 21:45";448.25;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"21:45 - 22:00";448.25;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"22:00 - 22:15";436.85;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"22:15 - 22:30";436.85;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"22:30 - 22:45";436.85;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"22:45 - 23:00";436.85;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"23:00 - 23:15";340.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"23:15 - 23:30";340.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"23:30 - 23:45";340.2;"2025-01-01 13:57"
"2025-01-02";"2025-01-02";"23:45 - 24:00";340.2;"2025-01-01 13:57"
"2025-01-03";"2025-01-03";"00:00 - 00:15";372.26;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"00:15 - 00:30";372.26;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"00:30 - 00:45";372.26;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"00:45 - 01:00";372.26;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"01:00 - 01:15";309.72;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"01:15 - 01:30";309.72;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"01:30 - 01:45";309.72;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"01:45 - 02:00";309.72;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"02:00 - 02:15";302.08;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"02:15 - 02:30";302.08;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"02:30 - 02:45";302.08;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"02:45 - 03:00";302.08;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"03:00 - 03:15";295.58;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"03:15 - 03:30";295.58;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"03:30 - 03:45";295.58;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"03:45 - 04:00";295.58;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"04:00 - 04:15";259.27;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"04:15 - 04:30";259.27;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"04:30 - 04:45";259.27;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"04:45 - 05:00";259.27;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"05:00 - 05:15";308.95;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"05:15 - 05:30";308.95;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"05:30 - 05:45";308.95;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"05:45 - 06:00";308.95;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"06:00 - 06:15";424.17;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"06:15 - 06:30";424.17;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"06:30 - 06:45";424.17;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"06:45 - 07:00";424.17;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"07:00 - 07:15";426.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"07:15 - 07:30";426.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"07:30 - 07:45";426.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"07:45 - 08:00";426.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"08:00 - 08:15";465;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"08:15 - 08:30";465;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"08:30 - 08:45";465;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"08:45 - 09:00";465;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"09:00 - 09:15";452.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"09:15 - 09:30";452.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"09:30 - 09:45";452.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"09:45 - 10:00";452.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"10:00 - 10:15";383.48;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"10:15 - 10:30";383.48;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"10:30 - 10:45";383.48;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"10:45 - 11:00";383.48;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"11:00 - 11:15";347.87;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"11:15 - 11:30";347.87;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"11:30 - 11:45";347.87;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"11:45 - 12:00";347.87;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"12:00 - 12:15";363.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"12:15 - 12:30";363.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"12:30 - 12:45";363.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"12:45 - 13:00";363.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"13:00 - 13:15";373.91;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"13:15 - 13:30";373.91;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"13:30 - 13:45";373.91;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"13:45 - 14:00";373.91;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"14:00 - 14:15";396.07;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"14:15 - 14:30";396.07;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"14:30 - 14:45";396.07;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"14:45 - 15:00";396.07;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"15:00 - 15:15";423.62;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"15:15 - 15:30";423.62;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"15:30 - 15:45";423.62;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"15:45 - 16:00";423.62;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"16:00 - 16:15";460.92;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"16:15 - 16:30";460.92;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"16:30 - 16:45";460.92;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"16:45 - 17:00";460.92;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"17:00 - 17:15";470.99;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"17:15 - 17:30";470.99;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"17:30 - 17:45";470.99;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"17:45 - 18:00";470.99;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"18:00 - 18:15";475.65;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"18:15 - 18:30";475.65;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"18:30 - 18:45";475.65;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"18:45 - 19:00";475.65;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"19:00 - 19:15";474.36;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"19:15 - 19:30";474.36;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"19:30 - 19:45";474.36;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"19:45 - 20:00";474.36;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"20:00 - 20:15";421.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"20:15 - 20:30";421.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"20:30 - 20:45";421.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"20:45 - 21:00";421.97;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"21:00 - 21:15";379.25;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"21:15 - 21:30";379.25;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"21:30 - 21:45";379.25;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"21:45 - 22:00";379.25;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"22:00 - 22:15";380.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"22:15 - 22:30";380.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"22:30 - 22:45";380.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"22:45 - 23:00";380.03;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"23:00 - 23:15";296.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"23:15 - 23:30";296.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"23:30 - 23:45";296.83;"2025-01-02 13:47"
"2025-01-03";"2025-01-03";"23:45 - 24:00";296.83;"2025-01-02 13:47"
"2025-01-04";"2025-01-04";"00:00 - 00:15";253.87;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"00:15 - 00:30";253.87;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"00:30 - 00:45";253.87;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"00:45 - 01:00";253.87;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"01:00 - 01:15";270.45;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"01:15 - 01:30";270.45;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"01:30 - 01:45";270.45;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"01:45 - 02:00";270.45;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"02:00 - 02:15";248.8;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"02:15 - 02:30";248.8;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"02:30 - 02:45";248.8;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"02:45 - 03:00";248.8;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"03:00 - 03:15";280.62;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"03:15 - 03:30";280.62;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"03:30 - 03:45";280.62;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"03:45 - 04:00";280.62;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"04:00 - 04:15";321.18;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"04:15 - 04:30";321.18;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"04:30 - 04:45";321.18;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"04:45 - 05:00";321.18;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"05:00 - 05:15";368.49;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"05:15 - 05:30";368.49;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"05:30 - 05:45";368.49;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"05:45 - 06:00";368.49;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"06:00 - 06:15";424.43;"2025-01-03 13:44"
"2025-01-04";"2025-01-04";"06:15 - 06:30";424.43;"2025-01-03 13:44"
