Doba handlowa;Doba;OREB [Jednostka czasu od-do];RCE [zł/MWh];Data publikacji
"2025-01-01";"2025-01-01";"00:00 - 00:15";16.26;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"00:15 - 00:30";16.26;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"00:30 - 00:45";16.26;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"00:45 - 01:00";16.26;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"01:00 - 01:15";-8.78;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"01:15 - 01:30";-8.78;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"01:30 - 01:45";-8.78;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"01:45 - 02:00";-8.78;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"02:00 - 02:15";-16.61;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"02:15 - 02:30";-16.61;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"02:30 - 02:45";-16.61;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"02:45 - 03:00";-16.61;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"03:00 - 03:15";-25.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"03:15 - 03:30";-25.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"03:30 - 03:45";-25.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"03:45 - 04:00";-25.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"04:00 - 04:15";-44.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"04:15 - 04:30";-44.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"04:30 - 04:45";-44.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"04:45 - 05:00";-44.25;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"05:00 - 05:15";-38.97;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"05:15 - 05:30";-38.97;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"05:30 - 05:45";-38.97;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"05:45 - 06:00";-38.97;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"06:00 - 06:15";-79.79;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"06:15 - 06:30";-79.79;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"06:30 - 06:45";-79.79;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"06:45 - 07:00";-79.79;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"07:00 - 07:15";-87.6;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"07:15 - 07:30";-87.6;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"07:30 - 07:45";-87.6;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"07:45 - 08:00";-87.6;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"08:00 - 08:15";-128.09;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"08:15 - 08:30";-128.09;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"08:30 - 08:45";-128.09;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"08:45 - 09:00";-128.09;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"09:00 - 09:15";-245.07;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"09:15 - 09:30";-245.07;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"09:30 - 09:45";-245.07;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"09:45 - 10:00";-245.07;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"10:00 - 10:15";-282.14;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"10:15 - 10:30";-282.14;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"10:30 - 10:45";-282.14;"2024-12-31 13:44"
"2025-01-01";"2025-01-01";"10:45 - 11:00";-282.14;"2024-12-31 13:44"
