Data
0.6632
0.6632
0.6632
0.6632
0.6458
0.6458
0.6458
0.6458
0.6326
0.6326
0.6326
0.6326
0.6347
0.6347
0.6347
0.6347
0.6535
0.6535
0.6535
0.6535
0.6950
0.6950
0.6950
0.6950
0.8364
0.8364
0.8364
0.8364
0.9343
0.9343
0.9343
0.9343
0.9889
0.9889
0.9889
0.9889
0.9762
0.9762
0.9762
0.9762
0.9288
0.9288
0.9288
0.9288
0.8868
0.8868
0.8868
0.8868
0.8659
0.8659
0.8659
0.8659
0.8659
0.8659
0.8659
0.8659
0.8610
0.8610
0.8610
0.8610
0.8745
0.8745
0.8745
0.8745
0.9156
0.9156
0.9156
0.9156
0.8655
0.8655
0.8655
0.8655
0.8204
0.8204
0.8204
0.8204
0.7932
0.7932
0.7932
0.7932
0.7412
0.7412
0.7412
0.7412
0.6666
0.6666
0.6666
0.6666
0.6612
0.6612
0.6612
0.6612
0.5667
0.5667
0.5667
0.5667
